**banking___survey___at_current_exchange_rate,unnamed:_1,2014,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,2015,unnamed:_15,unnamed:_16,unnamed:_17,unnamed:_18,unnamed:_19,unnamed:_20,unnamed:_21,unnamed:_22,unnamed:_23,unnamed:_24,unnamed:_25,2016,unnamed:_27,unnamed:_28,unnamed:_29,unnamed:_30,unnamed:_31,unnamed:_32,unnamed:_33,unnamed:_34,unnamed:_35,unnamed:_36,unnamed:_37,2017,unnamed:_39,unnamed:_40,unnamed:_41,unnamed:_42,unnamed:_43,unnamed:_44,unnamed:_45,unnamed:_46,unnamed:_47,unnamed:_48,unnamed:_49,2018,unnamed:_51,unnamed:_52,unnamed:_53,unnamed:_54,unnamed:_55,unnamed:_56,unnamed:_57,unnamed:_58,unnamed:_59,unnamed:_60,unnamed:_61,2019,unnamed:_63,unnamed:_64,unnamed:_65,unnamed:_66,unnamed:_67,unnamed:_68,unnamed:_69,unnamed:_70,unnamed:_71,unnamed:_72,unnamed:_73,2020,unnamed:_75,unnamed:_76,unnamed:_77,unnamed:_78,unnamed:_79,unnamed:_80,unnamed:_81,unnamed:_82,unnamed:_83,unnamed:_84,unnamed:_85,2021,unnamed:_87,unnamed:_88,unnamed:_89,unnamed:_90,unnamed:_91,unnamed:_92,unnamed:_93,unnamed:_94,unnamed:_95,unnamed:_96,unnamed:_97,2022,unnamed:_99,unnamed:_100,unnamed:_101,unnamed:_102,unnamed:_103,unnamed:_104,unnamed:_105,unnamed:_106,unnamed:_107,unnamed:_108,unnamed:_109,2023,unnamed:_111,unnamed:_112,unnamed:_113,unnamed:_114,unnamed:_115,unnamed:_116,unnamed:_117,unnamed:_118,unnamed:_119,unnamed:_120,unnamed:_121,2024,unnamed:_123,unnamed:_124,unnamed:_125,unnamed:_126,unnamed:_127,unnamed:_128,unnamed:_129,unnamed:_130,unnamed:_131,unnamed:_132,unnamed:_133,2025,unnamed:_135,unnamed:_136,unnamed:_137,unnamed:_138,unnamed:_139,unnamed:_140,unnamed:_141,unnamed:_142,unnamed:_143,unnamed:_144
,(KSHS M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov
,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov
A.,Central Bank of Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Foreign assets,"436,840","439,090","445,593","455,053","439,097","619,111","559,323","559,794","555,973","537,616","532,138","592,486","571,463","578,452","573,260","566,253","570,964","569,050","561,664","561,415","532,958","594,189","584,256","625,036","618,733","622,664","644,283","668,202","667,952","697,863","686,508","684,669","690,341","681,385","647,881","624,482","628,312","630,151","700,357","761,791","753,491","747,541","707,921","686,594","696,832","651,654","637,685","629,216","637,018","638,095","805,300","826,315","817,488","806,013","799,953","775,925","770,111","750,661","733,214","741,125","750,943","747,276","749,086","744,185","954,761","944,187","926,787","893,172","872,780","862,175","840,745","834,639","802,126","793,572","801,768","795,729","863,357","919,373","887,729","844,244","806,241","763,635","754,869","739,563","725,886","704,320","691,775","661,704","656,309","837,290","825,445","777,715","761,929","736,334","711,504","701,680","646,399","613,917","601,827","679,656","661,395","642,456","593,674","563,636","569,735","562,047","532,936","539,076","475,843","450,421","434,654",462928.6461,471872.0694,618268.3848,564342.0448,520471.5859,517443.6696,512689.2525,498241.0248,486935.527,483684.1166,480665.9049,405811.942,410365.2825,382482.0042,480562.3983,455035.9878,415619.3456,504012.6761,577122.7274,566911.1016,632116.9979,571587.0685,577166.8921,691608.6539,665340.5618,757897.3998,"819,475.93",812735.3597,786269.0962,753881.5595,879813.6078,876977.657
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Domestic Assets,"-56,768","-45,446","-62,047","-68,227","-39,319","-226,200","-178,914","-112,160","-157,840","-126,427","-137,446","-157,374","-155,527","-173,242","-171,883","-141,262","-149,031","-150,368","-111,299","-134,283","-107,733","-103,890","-130,886","-171,904","-183,715","-194,731","-188,245","-224,874","-205,451","-241,000","-238,966","-213,487","-225,592","-214,324","-191,541","-158,208","-172,443","-180,719","-231,913","-289,004","-278,074","-265,049","-220,873","-205,881","-212,606","-181,858","-162,329","-149,049","-155,134","-167,611","-322,513","-341,927","-329,577","-291,980","-280,692","-254,493","-249,432","-238,725","-209,849","-177,397","-198,378","-222,879","-206,453","-194,732","-385,847","-338,587","-414,668","-406,937","-353,579","-364,207","-331,043","-300,175","-278,221","-254,122","-265,600","-258,666","-320,691","-360,308","-358,639","-273,985","-276,865","-217,258","-207,250","-169,029","-174,120","-159,409","-155,394","-112,585","-101,325","-244,018","-279,922","-191,322","-176,718","-150,351","-142,136","-83,726","-57,976","-16,919","-51,414","-80,362","-76,338","-20,080","23,472","68,068","67,115","38,467","70,661","66,227","151,392","141,823","153,480",175064.556,188123.6624,29628.53866,102182.6101,150963.4349,174379.1183,140483.801,165973.3436,206558.9831,184538.9175,221055.8959,256174.4614,245620.7209,286884.8663,258040.284,248743.2226,281839.9869,177320.0007,123646.5304,169601.776,104074.7967,133190.986,69965.45697,-8565.022595,26899.11193,-51574.36006,-71342.8216,-166250.3064,-57147.12562,-60245.86418,-192127.2861,-175573.3859
,Domestic Credit,"-9,175","4,551","1,449","11,078","16,221","-168,660","-122,829","-56,323","-72,267","-70,028","-78,340","-90,830","-98,163","-84,238","-96,589","-64,783","-56,068","-45,791","9,903","-5,434","23,047","15,976","11,193","-57,637","-74,055","-71,761","-81,549","-124,668","-100,781","-145,381","-142,365","-118,272","-132,866","-106,035","-99,395","-62,215","-62,026","-73,547","-127,178","-179,810","-168,927","-145,736","-84,944","-91,363","-94,296","-65,435","-46,828","-29,744","-33,688","-55,026","-214,831","-192,082","-215,567","-183,510","-177,659","-153,822","-148,813","-131,625","-96,772","-62,656","-85,178","-115,512","-90,031","-74,044","-252,532","-203,322","-261,942","-260,864","-192,293","-215,063","-188,029","-162,434","-145,499","-117,335","-110,617","-78,977","-142,394","-184,058","-165,593","-62,520","-79,081","-17,747","19,156","39,970","42,327","50,502","51,126","85,574","109,064","-46,615","-72,082","28,056","40,789","73,618","91,995","154,121","197,113","233,765","186,497","158,287","170,887","228,950","282,440","331,571","321,951","318,832","333,637","348,868","447,658","450,153","503,977",549111.5865,576445.4123,431395.422,542657.7752,580211.0589,635604.126,622279.3207,677659.029,742768.1056,760114.8049,685356.9515,657511.6999,660373.2873,696238.6726,652590.7764,667056.9377,705754.8539,558182.076,523934.3481,587363.0145,508328.2816,541731.0211,482862.6587,415436.5636,463181.6895,394195.7442,378752.2643,297015.1692,392197.9951,396050.0938,265024.3186,331779.8531
,Government (Net),"-16,720","-3,002","12,286","30,545","44,370","-176,143","-130,969","-92,926","-47,052","-52,666","-53,900","-92,039","-105,467","-53,343","-61,291","-70,777","-59,139","-23,325","28,623","52,867","46,694","-12,736","-8,961","-43,264","-61,446","-46,508","-80,795","-108,101","-115,279","-156,124","-184,040","-154,422","-182,762","-146,211","-157,684","-113,579","-101,323","-66,541","-117,016","-189,066","-189,226","-176,230","-117,770","-114,369","-167,290","-115,156","-97,526","-66,662","-66,218","-95,518","-256,647","-209,557","-237,630","-224,592","-235,067","-192,296","-215,614","-156,526","-157,615","-94,887","-105,218","-193,813","-98,383","-161,395","-310,663","-189,416","-239,830","-244,394","-182,595","-188,040","-227,369","-182,590","-185,689","-157,415","-118,832","-120,611","-150,017","-62,549","-153,742","-145,535","-176,602","-85,462","-43,366","-30,791","-47,936","4,258","-19,298","41,694","65,702","-50,061","-8,659","34,877","-17,579","37,565","54,089","67,672","90,133","88,655","86,953","42,459","79,674","148,555","195,177","223,551","190,087","215,611","223,690","211,802","296,644","309,898","361,843",334622.3386,390173.7416,323638.9467,475185.1731,429520.6073,460449.9661,427798.8851,459889.276,488472.2117,563877.1502,490455.9476,431831.8691,390867.7879,458940.72,381215.3631,476875.2021,438230.824,359524.5282,368243.8844,440108.2878,386679.7424,459267.356,471490.4763,396300.2837,428414.7988,507170.1937,396199.4954,415646.17,360208.2542,434119.2212,362675.8218,388775.2116
,Of which:IMF funds on-lent to government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"79,334","79,702","82,164","83,226","82,796","83,271","85,061","85,269","85,931","86,025","84,146","117,713","117,904","160,638","161,835","163,169","163,031","164,104","164,164","164,164","194,013","194,948","195,311","191,794","193,454","233,786","260,891","261,007","276,909","280,367","289,280","351,766","357,196","357,389","401,465",413989.3413,415540.6769,422586.4389,471618.1813,477065.9401,479055.7174,487127.1385,504922.081,516670.4308,620385.37,550123.0902,504436.5825,507388.5716,497524.5377,491986.5254,497372.8944,502897.6199,503368.4399,493959.7674,538951.9103,534237.3219,534474.3178,535447.8727,541108.6153,553856.6454,552458.8144,560040.5492,552887.6365,556217.2426,556196.5031,552321.9795,552138.8058
,County Government (Net),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
