,NFA,NDA,Reserve_Money,Currency_Circ,Total_Reserves,SOE_Credit,Private_Credit,Gov_Credit,M2,M3,Req_Reserves,Excess_Reserves,Liquidity_Buffer_Ratio,Money_Multiplier
2014-01-01,393135.0,1826309.0,,,104793.0,,,,,,100001.0,4792.0,4.572824520721804,
2014-02-01,374497.0,1849196.0,,,117806.0,,,,,,100899.0,16907.0,14.351561041033564,
2014-03-01,374037.0,1877422.0,,,110866.0,,,,,,101179.0,9687.0,8.737575090649974,
2014-04-01,395068.0,1897462.0,,,115541.0,,,,,,103129.0,12412.0,10.742506988861097,
2014-05-01,366500.0,1978152.0,,,118593.0,,,,,,105814.0,12779.0,10.775509515738703,
2014-06-01,533164.0,1819024.0,,,123767.0,,,,,,107354.0,16413.0,13.261208561248154,
2014-07-01,492850.0,1900201.0,,,98084.0,,,,,,108527.0,-10443.0,-10.646996452020717,
2014-08-01,485098.0,1972485.0,,,151126.0,,,,,,110034.0,41093.0,27.19103800115135,
2014-09-01,450068.0,2007365.0,,,121971.0,,,,,,112237.0,9734.0,7.980585549023949,
2014-10-01,421715.0,2044616.0,,,141087.0,,,,,,113474.0,27613.0,19.571611842338417,
2014-11-01,422395.0,2082085.0,,,116183.0,,,,,,114282.0,1901.0,1.6362118382207378,
2014-12-01,483032.0,2056665.0,,,157761.0,,,,,,115641.0,42119.0,26.698149087221097,
2015-01-01,473222.0,2091847.0,15.8212018,7.761185278,137294.0,55.4220808,26.15433651,-9.187985723,16.66117594,15.57263246,119007.0,18287.0,13.319591533497457,0.9842888458701031
2015-02-01,487879.0,2139633.0,11.45447207,8.318903716,137499.0,77.67026708,25.35195038,1.300221868,17.17722814,18.15989866,119104.0,18394.0,13.377649129441881,1.5853981352455295
2015-03-01,463621.0,2156599.0,11.77097126,9.645848313,128144.0,86.95840544,23.89613962,0.966399645,16.56183875,16.37873837,122789.0,5355.0,4.1788924959420655,1.3914517339497778
2015-04-01,468131.0,2219515.0,11.99673547,10.24491829,132901.0,73.51136625,23.89024028,4.328105023,17.45385824,17.23494278,122449.0,10452.0,7.864500643336017,1.436636060126447
2015-05-01,446464.0,2279003.0,15.02644408,11.58044532,143194.0,71.38542326,24.51604613,2.208090466,15.01308981,16.24240934,125447.0,17747.0,12.393675712669525,1.0809216906891785
2015-06-01,433410.0,2357812.0,13.82307118,11.1077827,146305.0,119.484151,23.00519659,71.84965191,16.92947518,18.6658763,128107.0,18198.0,12.438399234475924,1.3503421965305977
2015-07-01,410613.0,2377046.0,25.82448493,10.91992273,154202.0,130.0889606,23.87590993,39.17521295,16.4143185,16.48975934,131382.0,22820.0,14.798770443963113,0.6385319740044085
2015-08-01,402045.0,2413299.0,2.91591491,10.82990574,139236.0,111.4686919,23.94657803,31.32452009,15.03608473,14.55745711,129196.0,10040.0,7.210778821569135,4.992414922697453
