date,year,month,commercial_imports,government_imports,total_imports,domestic_exports,re_exports,total_exports,trade_balance,export_import_ratio,re_export_share
1998-08-01,1998,August,14786.66,736.34,15522.99,8642.42,506.74,9149.16,-6373.83,58.93941824352138,5.53865054278207
1998-09-01,1998,September,16438.24,511.11,16949.35,9222.37,639.03,9861.4,-7087.95,58.181582184567546,6.480114385381386
1998-10-01,1998,October,16189.14,980.93,17170.07,9310.95,572.66,9883.61,-7286.46,57.56301517699113,5.794036794248255
1998-11-01,1998,November,13424.42,395.24,13819.65,8633.71,455.17,9088.89,-4730.77,65.76787400549217,5.007982272862804
1998-12-01,1998,December,17529.81,516.13,18045.94,9079.32,517.33,9596.66,-8449.28,53.17905301691128,5.39072969137179
1999-01-01,1999,January,13040.65,412.25,13452.9,8455.96,550.8,9006.75,-4446.15,66.95024864527352,6.11541343992006
1999-02-01,1999,February,16335.01,986.63,17321.64,10205.38,409.11,10614.49,-6707.15,61.27878191672382,3.8542596017331032
1999-03-01,1999,March,17326.37,659.12,17985.49,11370.64,540.75,11911.4,-6074.09,66.22783143522916,4.539768625014692
1999-04-01,1999,April,15396.92,341.98,15738.9,9760.29,394.02,10154.31,-5584.59,64.51727884413778,3.8803227398021134
1999-05-01,1999,May,14231.39,551.37,14782.75,9535.02,314.63,9849.65,-4933.1,66.62934839593446,3.1943267019640293
1999-06-01,1999,June,14041.45,102.0,14143.45,11458.19,510.1,11968.29,-2175.16,84.62072549484037,4.262095921806707
1999-07-01,1999,July,14802.11,1155.73,15957.84,9947.67,453.26,10400.94,-5556.9,65.1776180234919,4.357875345882198
1999-08-01,1999,August,15309.02,85.49,15394.51,8969.13,508.45,9477.58,-5916.93,61.56467467947989,5.3647661111802805
1999-09-01,1999,September,16891.43,527.89,17419.32,9245.61,865.68,10111.3,-7308.02,58.046467944787736,8.561510389366353
1999-10-01,1999,October,13770.29,208.09,13978.37,8693.49,895.79,9589.28,-4389.09,68.60084544907596,9.34157726127509
1999-11-01,1999,November,19417.88,1363.57,20781.46,8952.68,907.38,9860.06,-10921.4,47.44642580453924,9.202580917357501
1999-12-01,1999,December,17316.53,198.33,17514.86,8812.23,821.6,9633.83,-7881.03,55.00375110049409,8.528280029853134
2000-01-01,2000,January,17086.47,110.73,17197.2,8178.01,946.25,9124.26,-8072.93,53.05666038657456,10.370704035176551
2000-02-01,2000,February,15812.7,547.45,16360.15,9952.54,760.38,10712.92,-5647.22,65.48179570480711,7.097784730960373
2000-03-01,2000,March,21253.31,288.14,21541.46,10981.56,905.14,11886.71,-9654.75,55.18061449873871,7.614722660854014
2000-04-01,2000,April,15180.21,492.58,15672.79,8443.42,1004.79,9448.21,-6224.58,60.28416127568862,10.634712818618555
2000-05-01,2000,May,20637.87,236.84,20874.72,11496.0,1177.81,12673.81,-8200.91,60.71367663853694,9.293259090991581
2000-06-01,2000,June,19780.84,90.07,19870.91,10878.43,1118.73,11997.16,-7873.75,60.37549362359348,9.324956906467865
2000-07-01,2000,July,22865.95,486.09,23352.04,9684.69,1225.37,10910.06,-12441.98,46.7199439535047,11.231560596367023
2000-08-01,2000,August,24116.67,393.83,24510.5,10328.83,1394.08,11722.91,-12787.59,47.828114481548724,11.891927857502957
2000-09-01,2000,September,20921.19,324.11,21245.3,9106.42,1079.61,10186.03,-11059.28,47.94486309913252,10.598928139815019
2000-10-01,2000,October,22619.99,507.68,23127.67,10604.61,1332.12,11936.74,-11190.93,51.61237599810098,11.159830908606537
2000-11-01,2000,November,26049.59,467.55,26517.15,10747.97,2266.93,13014.9,-13502.25,49.08106640419502,17.417959415746566
2000-12-01,2000,December,16311.66,1222.34,17534.0,9361.22,1552.14,10913.36,-6620.64,62.24113151591194,14.222384306941215
2001-01-01,2001,January,20362.81,377.92,20740.73,11909.29,1627.68,13536.97,-7203.76,65.26756772784758,12.023961048890557
2001-02-01,2001,February,19975.7,616.59,20592.29,11682.79,2444.94,14127.74,-6464.56,68.60693978183096,17.30595268599224
2001-03-01,2001,March,22856.78,527.14,23383.92,12404.83,1763.72,14168.56,-9215.37,60.59103862825395,12.448124580056124
2001-04-01,2001,April,21908.1,737.74,22645.84,9574.02,1836.6,11410.62,-11235.22,50.38726759528461,16.0955320569785
2001-05-01,2001,May,27709.69,497.61,28207.31,11186.16,2232.87,13419.03,-14788.28,47.572880930510564,16.639578270560538
2001-06-01,2001,June,29220.86,228.63,29449.49,10971.91,1962.38,12934.28,-16515.2,43.92021729408557,15.171930714349774
2001-07-01,2001,July,28310.73,666.84,28977.57,11075.39,3775.07,14850.46,-14127.11,51.248120529085085,25.420559363144307
2001-08-01,2001,August,21243.47,589.39,21832.85,10620.48,1941.11,12561.59,-9271.26,57.535273681631125,15.452741253296756
2001-09-01,2001,September,23225.8,102.58,23328.38,8529.24,1922.62,10451.87,-12876.51,44.80323965916193,18.39498577766466
2001-10-01,2001,October,24874.33,174.01,25048.34,9721.82,1949.83,11671.65,-13376.69,46.59650100565546,16.70569285405234
2001-11-01,2001,November,19126.14,119.46,19245.59,10638.91,1962.77,12601.68,-6643.91,65.47827320440683,15.575462954145797
2001-12-01,2001,December,15729.1,279.83,16008.94,9104.87,1872.68,10977.56,-5031.38,68.57143571029687,17.0591643316001
2002-01-01,2002,January,33490.59,68.98,33559.57,12299.91,2156.73,14456.64,-19102.92,43.077548371448145,14.918611793611793
2002-02-01,2002,February,15650.29,221.4,15871.69,10625.73,2711.8,13337.53,-2534.15,84.03345831477303,20.332100471376634
2002-03-01,2002,March,22023.99,169.74,22193.73,10323.57,2600.15,12923.72,-9270.01,58.23140139129384,20.119207163262594
2002-04-01,2002,April,17934.56,205.05,18139.62,11515.45,3161.56,14677.01,-3462.6,80.91134213395871,21.540899679158084
2002-05-01,2002,May,20589.3,471.16,21060.46,12187.61,3468.96,15656.57,-5403.89,74.3410637754351,22.156577079143133
2002-06-01,2002,June,21001.54,265.61,21267.15,12999.86,2583.63,15583.49,-5683.66,73.27493340668589,16.57927717090331
2002-07-01,2002,July,20449.68,465.47,20915.15,11515.84,4045.9,15561.75,-5353.41,74.4041998264416,25.999003968062716
2002-08-01,2002,August,19014.13,129.49,19143.62,10682.09,2727.54,13409.63,-5733.99,70.04751452442119,20.34015852786393
2002-09-01,2002,September,19013.1,445.26,19458.36,10643.34,4535.64,15178.98,-4279.38,78.00749909036527,29.881059201606437
2002-10-01,2002,October,22080.43,370.43,22450.86,11133.82,3557.86,14691.68,-7759.17,65.43927493200707,24.2168356511985
2002-11-01,2002,November,20333.0,697.96,21030.96,10687.47,3289.91,13977.38,-7053.58,66.46096992243817,23.53738683501486
2002-12-01,2002,December,22380.44,193.18,22573.61,9348.17,3043.57,12391.73,-10181.88,54.89476428448972,24.561300157443718
2003-01-01,2003,January,23838.17,481.64,24319.81,12541.97,4195.41,16737.38,-7582.43,68.8220014876761,25.06610951056856
2003-02-01,2003,February,22722.49,391.8,23114.3,13094.44,4101.5,17195.94,-5918.36,74.39524450232106,23.85156031016624
2003-03-01,2003,March,21179.63,229.98,21409.61,12359.74,3761.14,16120.88,-5288.74,75.29740149400199,23.33086035005533
2003-04-01,2003,April,21600.41,180.33,21780.75,11463.35,3426.77,14890.11,-6890.63,68.3636238421542,23.01373193347799
2003-05-01,2003,May,22866.32,227.79,23094.11,10575.63,4230.93,14806.56,-8287.56,64.11401002246893,28.574699322462475
2003-06-01,2003,June,25755.63,115.4,25871.03,11230.39,3361.61,14591.99,-11279.04,56.40281813286908,23.037365020124057
2003-07-01,2003,July,26374.47,94.92,26469.39,10794.28,3689.0,14483.28,-11986.11,54.7170901936161,25.470749719676753
2003-08-01,2003,August,20426.42,403.51,20829.93,9938.62,3803.33,13741.95,-7087.98,65.97213720833436,27.676785317949783
2003-09-01,2003,September,22194.36,161.09,22355.45,11101.94,3898.15,15000.08,-7355.37,67.09809017487906,25.98752806651698
2003-10-01,2003,October,25061.44,179.84,25241.28,12041.0,3337.53,15378.53,-9862.75,60.9261099278642,21.70252943551822
2003-11-01,2003,November,21132.38,220.42,21352.8,10826.88,4913.87,15740.76,-5612.04,73.71754523996853,31.21748886330774
2003-12-01,2003,December,25666.67,318.69,25985.36,10734.18,3699.42,14433.59,-11551.76,55.54508384721243,25.630629663167653
2004-01-01,2004,January,25278.88,259.47,25538.35,12411.92,3978.65,16390.57,-9147.78,64.1802230762755,24.27401853626811
2004-02-01,2004,February,25286.11,281.49,25567.6,11489.32,4011.03,15500.35,-10067.25,60.62497066599916,25.877028583225542
2004-03-01,2004,March,29575.09,200.02,29775.11,12378.96,4316.24,16695.2,-13079.91,56.070993524457165,25.853179356940913
2004-04-01,2004,April,29133.36,251.66,29385.02,13232.09,4938.67,18170.75,-11214.27,61.83677942026243,27.179230356479504
2004-05-01,2004,May,25954.17,354.66,26308.82,13455.29,4467.33,17922.62,-8386.2,68.12399795961962,24.925652611057984
2004-06-01,2004,June,30175.8,526.98,30702.78,13616.16,4106.07,17722.23,-12980.55,57.72190661562243,23.169036853714232
2004-07-01,2004,July,28871.27,526.98,29398.25,14298.7,4768.51,19067.21,-10331.04,64.85831639638413,25.008955164389548
2004-08-01,2004,August,33240.79,253.51,33494.3,12140.55,5415.8,17556.35,-15937.95,52.41593345733452,30.848097696844732
2004-09-01,2004,September,30469.82,253.51,30723.33,12215.47,4336.78,16552.26,-14171.07,53.8752146984067,26.200530924477988
2004-10-01,2004,October,27852.55,253.51,28106.06,13212.09,3727.09,16939.18,-11166.88,60.26878189258829,22.002776993927686
2004-11-01,2004,November,33324.36,253.51,33577.87,15264.76,5303.02,20567.78,-13010.1,61.25397471608531,25.783142371223345
2004-12-01,2004,December,38031.5,202.75,38234.25,14371.28,5146.7,19517.97,-18716.27,51.04839247533298,26.369033254995266
2005-01-01,2005,January,38204.12,301.83,38505.95,14569.76,5270.33,19840.09,-18665.86,51.52473838458732,26.56404280424131
2005-02-01,2005,February,27951.21,928.76,28879.97,15213.7,5318.87,20532.56,-8347.4,71.09619573704543,25.904563288747234
2005-03-01,2005,March,35544.67,334.42,35879.08,17772.81,5353.99,23126.8,-12752.28,64.45761708494197,23.150587197537057
2005-04-01,2005,April,50507.57,425.48,50933.05,15971.5,5235.55,21207.05,-29726.0,41.63710989229979,24.687780714432233
2005-05-01,2005,May,37656.25,247.0,37903.25,16845.76,5027.31,21873.08,-16030.17,57.70766359085303,22.984005910461626
2005-06-01,2005,June,45876.66,100.52,45977.18,16705.72,5197.01,21902.73,-24074.45,47.63826315576553,23.7276814351453
2005-07-01,2005,July,31434.68,1.28,31435.96,15026.35,4705.43,19731.78,-11704.18,62.76818013510642,23.846961602045027
2005-08-01,2005,August,45558.82,155.99,45714.81,17428.17,3149.02,20577.19,-25137.62,45.01208689262845,15.303450082348466
2005-09-01,2005,September,36325.33,46.32,36371.65,17139.52,2829.67,19969.19,-16402.46,54.90317321320314,14.170179160997517
2005-10-01,2005,October,36076.57,123.84,36200.41,15541.54,3101.36,18642.9,-17557.51,51.499140479348156,16.63560926679862
2005-11-01,2005,November,36446.25,120.96,36567.21,15006.35,3134.61,18140.95,-18426.26,49.60988273373878,17.279194309008073
