year,month,coffee,tea,petroleum,chemicals,fish,horticulture,cement,other,total
2025,August,2447.33,14648.29,1485.2,5858.56,305.5,12810.93,198.8,37403.78,75158.39
2025,January,3440.12,15502.69,982.1080427,5838.58,331.7164076,11585.53,219.9697321,37598.39,75499.1
2025,February,5533.27,15635.91,1159.193253,6218.11,374.0944689,14186.33,165.2825138,36833.51,80105.7
2025,March,6980.68,14940.7,1042.588773,5857.65,290.2534641,14256.64,276.2363998,38040.97,81685.71
2025,April,7909.03,16059.59,1302.78254,6940.97,517.8264473,14052.28,257.0032776,41876.37,88915.86
2025,May,7455.9,15353.35,1057.895839,6309.69,419.0997057,15303.61,228.9354343,39377.13,85505.6
2025,June,4685.83,12628.01,1118.19,6886.01,209.07,14473.28,196.32,35741.22,75937.91
2025,July,2565.16,15628.91,1226.37,6415.56,241.43,14464.27,310.7,41175.54,82027.95
2024,January,2413.71,18267.6,965.8848691,6676.32,998.9259632,12232.17,566.7549684,37558.17,79679.55
2024,February,2284.11,20429.82,1319.47,8178.67,440.8915495,16965.45,659.9216219,39527.79,89806.12
2024,March,3528.04,19070.04,1306.62,7306.4,350.4197678,15928.47,697.7135267,36158.72,84346.42
2024,April,4111.96,17337.26,1220.69,6500.75,326.7471313,12036.43,506.5225998,32579.78,74620.14
2024,May,3747.46,15610.13,1358.7,6851.9,380.2896783,12876.5,410.3230233,34171.35,75406.66
2024,June,4211.56,11752.08,1104.31,6926.64,394.2229708,11495.97,333.0739368,35693.83,71911.68
2024,July,5037.44,15518.53,1213.57,7161.35,886.3827529,13475.67,253.9401697,36941.25,80488.13
2024,December,2025.08,13808.09,1064.54,5356.63,405.9240937,10919.32,110.2090391,35434.31,69124.1
2024,November,3089.31,15546.36,985.9199404,7276.92,529.4823015,11445.05,199.1753848,36988.88,76061.09
2024,October,2536.86,12514.52,1103.07,6211.95,421.4970451,13112.64,230.149005,33735.94,69866.63
2024,September,3561.24,14395.84,1412.07,8383.7,427.5376566,13918.86,209.22232,34287.2,76595.67
2024,August,3859.65,14713.16,1388.67,7436.18,296.1020307,13853.28,264.1527453,37395.05,79206.24
2023,April,4111.12,12179.71,1037.58,5643.48,879.643238,12170.07,379.8327536,30593.49,66994.94
2023,May,4839.14,16176.45,1239.08,8061.85,444.960206,12790.87,595.9302795,35541.88,79690.16
2023,June,5186.01,15446.15,1129.54,6359.78,548.2459179,12043.45,448.6438545,36517.82,77679.64
2023,July,4368.48,12910.37,1152.3,7689.25,569.5921112,12512.15,539.9029827,34887.59,74629.63
2023,August,3416.31,20193.05,1188.52,7496.22,423.7447444,13851.44,553.4331235,34711.12,81833.85
2023,September,2255.48,17254.77,1132.07,7123.04,568.3513843,13011.65,500.8083137,34030.86,75877.04
2023,November,1607.71,17767.98,1122.02,7935.03,576.7333867,11288.29,412.3742773,39024.37,79734.51
2023,December,1486.78,17283.71,4043.63,6499.39,579.6303388,10947.46,482.6520072,36089.51,77412.75
2023,March,4099.69,16216.54,964.9529558,7689.15,508.6990539,11418.37,421.6091678,34313.06,75632.08
2023,February,2684.98,13510.62,1165.36,7023.6,581.9494723,11067.44,375.303214,35053.32,71462.57
2023,January,1350.34,13519.65,954.9203092,5390.03,549.7401169,9989.3,518.5358029,33008.13,65280.63
2023,October,1384.31,16111.63,1100.55,8090.66,439.9252211,12660.84,654.417874,34363.94,74806.28
2022,January,2721.26,12642.48,608.0386689,3600.24,181.8170389,10330.24,129.3637259,22975.22,53188.66
2022,February,3689.12,13303.4,631.5304657,4297.09,296.6186361,10732.68,200.082236,28043.87,61194.39
2022,March,3578.34,13568.47,682.3487524,6360.07,542.4137013,11377.2,363.3356551,31008.53,67480.7
2022,April,4476.06,12769.02,601.4194335,6298.58,583.2481356,10462.45,295.6388055,27020.56,62506.98
2022,May,4877.93,13776.91,867.2374813,6056.14,354.9702249,11833.22,323.2446205,32505.6,70595.25
2022,June,3835.7,13729.67,685.8989835,5978.09,417.3342438,10118.42,651.6839761,34435.67,69852.47
2022,July,3980.87,13452.76,618.0737502,7154.5,462.9041486,9941.35,338.4805434,32025.88,67974.82
