year,month,uganda,tanzania,zambia,egypt,rwanda,zimbabwe,ethiopia,somalia,s.africa,drc,other,total
2024,March,50937,5299,822,3570,3424,192,1443,1748,538,2723,6890,77586
2024,December,43827,6102,827,2344,2979,256,1256,1121,969,2624,6277,68582
2024,January,63544,5285,779,2915,3289,307,1188,1251,508,2772,5491,87329
2024,February,65123,5942,886,3985,3553,262,1689,1870,534,3120,7105,94068
2024,April,52855,4580,993,1876,2932,228,1187,1195,484,1785,6940,75056
2024,May,57838,5405,749,1101,3228,209,862,1414,475,2470,5621,79371
2024,June,53863,5080,841,1793,3677,166,1133,1129,422,2308,5010,75421
2024,July,51774,5568,795,1760,3634,196,1305,1266,514,2881,8157,77850
2024,August,59579,5911,824,1913,4201,179,1541,1637,528,3052,5870,85236
2024,September,49585,5754,610,2060,4615,241,1182,2127,242,2214,5800,74431
2024,October,45526,5924,838,1887,3378,337,1327,1492,876,3542,5898,71026
2024,November,47276,5545,754,2422,2866,223,1007,1182,656,2257,7387,71575
2023,May,51481,5999,764,2021,4255,226,1445,3105,894,2155,7236,79581
2023,March,48424,4922,682,2703,3272,159,1531,1474,705,1799,7086,72756
2023,February,41667,4676,910,2284,2945,205,1477,2454,538,2160,6059,65375
2023,January,38457,4404,641,2199,3153,183,1162,1069,500,1564,4976,58309
2023,June,53609,5741,826,3290,3314,266,1846,1620,246,1826,5837,78422
2023,July,53892,5978,822,2425,3807,263,1211,1401,529,1879,6968,79175
2023,August,52932,6280,1007,3394,4224,162,1214,1654,1397,3076,7208,82550
2023,September,58193,6972,781,2685,3653,218,929,2255,344,2668,7160,85858
2023,October,59237,7437,879,3447,3639,301,1352,1918,548,2246,7429,88433
2023,November,58176,7489,875,3413,3617,305,1212,1745,489,2200,6852,86373
2023,December,54242,5557,737,2475,3280,268,1472,1420,443,2283,6562,78740
2023,April,50129,3611,738,1605,3045,218,871,1725,291,1682,5491,69407
2022,May,34083,4293,645,2356,3940,187,1202,1101,473,1529,5243,55053
2022,April,37837,3702,639,2098,3202,304,1143,945,503,1149,6598,58119
2022,March,39698,5385,606,2881,3325,482,1267,1376,840,1538,6671,64069
2022,February,32340,5548,440,2478,2502,548,1180,1171,480,1518,4975,53181
2022,January,27589,3017,455,2074,1772,167,527,912,364,829,4194,41900
2022,June,43844,4723,603,2621,3653,138,1614,997,487,1606,6464,66748
2022,July,45026,4476,663,2542,4895,233,1326,1752,1044,1270,5898,69124
2022,August,43201,5012,710,1785,3740,182,1107,917,557,1282,4533,63026
2022,September,34752,5215,357,2268,3976,0,1505,1891,535,1717,6155,58374
2022,October,36804,5489,518,1024,3155,214,1455,1034,252,1734,5105,56783
2022,November,35709,4709,849,2295,2422,124,1288,1329,944,1783,5401,56853
2022,December,36870,5005,935,2348,3591,167,1317,1889,371,1855,4906,59253
2021,May,26373,2735,316,1832,2208,776,739,2126,232,1181,4124,42643
2021,April,26645,2989,1451,1683,1998,688,598,317,157,9943,3716,50183
2021,March,27015,3418,1555,2487,2506,115,680,1298,259,1581,5147,46059
2021,February,23088,2859,324,2366,1794,72,857,724,620,1301,5139,39144
2021,January,18580,2456,317,1611,1579,84,673,699,140,953,5073,32166
2021,June,27758,3154,540,1214,2394,290,944,892,262,1492,4439,43381
