year,month,uk,germany,usa,netherlands,uganda,tanzania,pakistan,france,egypt,belgium,others,total
2025,June,4526,1737,6251,5330,38502,6168,3906,1425,2267,1483,53370,124965
2025,May,4973,2711,7603,6245,49775,5371,6556,1471,1668,1293,44383,132047
2025,April,4981,1982,5732,6172,35520,4707,7150,1399,2038,2386,49102,121168
2025,March,5605,2499,6861,6788,43259,5180,6390,1334,1892,1556,46223,127586
2025,February,5597,2011,6244,6991,44613,5215,6168,1150,2072,1150,45322,126535
2025,January,5223,1616,5810,5901,45514,4340,6715,1194,2465,971,42091,121840
2025,July,4715,1390,7977,5219,90884,6694,5748,1777,2672,695,50855,178626
2025,August,4187,1170,6659,4461,45608,4588,5997,1782,2295,900,45817,123465
2024,May,4408,1626,6544,5327,57838,5405,6719,1048,1101,955,49717,140689
2024,March,5913,1925,7541,9407,50937,5299,7590,1165,3570,657,44384,138388
2024,February,7082,1965,6842,10106,65123,5942,6934,1252,3985,630,48975,158835
2024,January,5952,1620,7827,8460,63544,5285,6781,1161,2915,652,41065,145262
2024,April,4840,1748,5667,5571,52855,4580,7626,943,1876,761,49278,135747
2024,June,4221,1428,8489,4757,53863,5080,3750,1282,1793,1061,44116,129840
2024,July,4831,2131,9361,4787,51774,5568,7128,1164,1760,1593,47177,137272
2024,August,4265,1727,9124,4123,59579,5911,7281,1362,1913,809,45625,141719
2024,September,4686,1387,6135,4509,49585,5754,6077,1373,2060,977,46518,129062
2024,October,5106,1345,8335,5499,45526,5924,4776,1112,1887,271,46378,126160
2024,November,4579,1212,6950,4942,47276,5545,6617,1187,2422,710,42304,123744
2024,December,5081,881,6048,4974,43827,6102,5246,991,2344,574,41422,117489
2023,May,5052,1277,6497,8431,51481,5999,6726,1388,2021,666,42571,132108
2023,April,4091,1459,4498,6596,50129,3611,5243,1105,1605,442,32140,110920
2023,March,4566,1716,5250,6220,48424,4922,5700,931,2703,238,38721,119391
2023,February,4716,1553,4396,6088,41667,4676,3868,963,2284,328,37767,108307
2023,January,4230,1199,5512,5843,38457,4404,4435,1145,2199,1806,32249,101478
2023,June,4199,1975,6054,6260,53609,5741,7326,1548,3290,1087,37532,128622
2023,July,4145,1442,6809,6123,53892,5978,5257,1329,2425,813,36510,124724
2023,October,5017,900,3965,5710,59237,7437,6632,1383,3447,399,39284,133411
2023,December,5148,929,5731,6758,54242,5557,7293,1263,2475,442,39101,128940
2023,November,5005,937,5731,5737,58176,7489,6633,1413,3413,398,42553,137484
2023,September,4348,1204,4232,5789,58193,6972,8451,1746,2685,494,43605,137719
2023,August,4615,1348,5644,6580,52932,6280,9898,1575,3394,597,41948,134813
2022,January,4167,1466,4598,5977,27589,3017,5540,765,2074,750,26012,81955
2022,March,4293,1533,5762,6399,39698,5385,5442,781,2881,1027,35884,109084
2022,April,3355,1621,7732,5797,37837,3702,5106,876,2098,888,31814,100826
2022,May,4060,1287,6749,5859,34083,4293,4662,899,2356,974,36929,102151
2022,June,3454,1184,10517,5848,43844,4723,4709,820,2621,626,36787,115132
2022,July,3750,1438,7413,5256,45026,4476,4245,1126,2542,1010,34518,110799
2022,August,3363,1144,6388,4667,43201,5012,4972,1001,1785,648,32786,104968
2022,September,3195,1496,8958,5342,34752,5215,5985,876,2268,397,34837,103319
2022,October,3235,1101,4632,6180,36804,5489,5466,809,1024,365,30411,95516
2022,November,3684,1106,7594,6301,35709,4709,6273,640,2295,517,34730,103558
2022,February,4484,1238,4998,6105,32340,5548,5907,715,2478,980,30044,94835
2022,December,3526,1332,4592,5920,36870,5005,5809,783,2348,546,30992,97723
2021,May,4235,925,4813,5793,26373,2735,4421,902,1832,825,28231,81086
2021,April,3099,795,3488,4758,26645,2989,3600,649,1683,474,29816,77996
2021,March,5422,2358,4670,5577,27015,3418,4756,1134,2487,631,30597,88065
2021,February,5035,1922,3973,6312,23088,2859,4614,824,2366,428,30226,81646
2021,January,4608,1251,5066,5512,18580,2456,4563,731,1611,472,22779,67629
2021,June,4308,875,5235,4582,27758,3154,3811,1069,1214,760,24145,76912
2021,July,3875,916,7152,4760,22496,4027,4059,814,1113,1068,24518,74798
